COD;NOME_LOCAL;COD_LOCAL;NIVEL
229945;ASS.LEGISLATIVA-BA;6;D
230070;MEX-7.R C MEC;35;D
230300;2 BTL FERROVIARIO;90;D
230555;FAB-A F A;163;D
230590;FAB.PAPEL PENHA;171;D
230685;MEX-E A S A;193;D
230740;E FEDERAL STA TERESA;209;D
230910;FORUM MACAPA;261;D
230935;TRT-SP-JCJ JABOTICAB;269;D
231070;FAB-E E A R;306;D
231075;MEX-10.B E CNST;307;D
231080;EFEI-ESC.FED.ENGEN;308;D
231125;TRT-SP-AMERICANA;319;D
231315;FORUM POUSO ALEGRE;368;D
231410;MEX-4.BDA C MEC;391;D
231540;VICOSA SHOPPING;428;D
231650;UFOP-UNIV.OURO PRETO;473;D
232015;MEX-16.B I S-COMANDO;577;D
232220;TRT-SP-JCJ OSASCO;637;D
232595;MEX-17.R C MEC;743;D
232660;HAMAMATSU      JAPAO;760;D
232705;MEX-C F SOL/8.B I S;774;D
232890;COOP.AGR.CAPAO BONIT;840;D
232905;MERCADO JULIFRAN-MS;845;D
232950;MEX-5.B I L;857;D
233200;MAX CENTER;938;D
233360;TRT-SP-JCJ SERTAOZIN;987;D
233675;MEX-5.B I S;1136;D
233930;HOSP.ANA NERY;1223;D
233960;DEP.POL.FEDERAL-PA;1232;D
234075;SERPRO;1266;D
234435;SAMARCO MINERACAO;1438;D
234495;BOM PRECO;1469;D
234755;DATAPREV-BOTAFOGO;1569;D
234965;UEMA-UN.EST.MARANHAO;1638;D
235090;PM-CAMBUCI-S.J.PARAI;1708;D
235185;PM-CAS.ABREU-B.S.JOA;1757;D
235475;UFRGS-CAMPUS VALE;1899;D
235845;FAB-PA M A LS;2241;D
235925;PREFEITURA MARIANA;2279;D
236090;HOSP.CRISTO REDENTOR;2375;D
236160;PETROBRAS-PAULINIA;2417;D
236260;PREF.MUN.TOMBOS;2483;D
236580;PREF.MUN.SENTO SE;2678;D
236675;EMBRAPA-SEDE;2727;D
236885;DEL.REC.FEDERAL-AP;2825;D
237050;CONAB-PE;2889;D
237070;FORUM SAMAMBAIA;2895;D
237220;DEL.REC.FEDERAL-RJ;2948;D
237535;PREVI;3071;D
237620;TRE-PE;3108;D
237920;CALCADOS BIBI;3246;D
237945;TRT-RS-TRIBUNAL;5972;D
238190;TRT-PA-BELEM;3372;D
238205;IMPRENSA NACIONAL;3380;D
238390;HOSP.GERAL FORTALEZA;3473;D
238430;CREA;3486;D
238490;TRT-PB;3502;D
238810;MIN.JUSTICA;3606;D
238835;CDTN;3610;D
238950;PM-CARDOSO MOREIRA;3677;D
239140;CAPIXABA;4026;D
239405;ALT-PGR;8608;D
239445;SEC.INFRA-ESTRUTURA;3853;D
239625;PREF.MUN.PINHEIRO;566;D
239780;PETROBRAS-REFAP;3866;D
239860;FLOR DA SERRA DO SUL;1391;D
239915;EDIHB-PETROBRAS;4059;D
240175;PC SAGRADOS CORACOES;1663;D
240840;FORUM GOV.VALADARES;4276;D
240900;KARIBE IND.COM;2578;D
241010;IMBEL;4269;D
241150;PREF.MUN.CATURAMA;2399;D
241160;UFRR;4263;D
241570;ALT-PALACIO JUST;8002;D
241700;VILA CAMPINAS;4158;D
241910;PM-FRANCISCO ALVES;796;D
241975;EXT-SUP BARREIRAS;8485;D
241980;EXT-SUP GOIANIA;8486;D
241985;EXT-SUP RECIFE-PE;8489;D
241995;EXT-SUP NITEROI;8491;D
242005;EXT-SUP FORTALEZA-CE;8495;D
242010;EXT-SUP BLUMENAU;8496;D
242020;EXT-SUP CAMPO GRANDE;8500;D
242360;MEX-CMDO FRON AMAPA;2364;D
242520;SOP SAO PAULO;4866;D
242525;SAO BENEDITO DO SUL;1120;D
242530;ESTILO TCE-MG;7155;D
242650;ALT-DANTAS BARRETO;3237;D
242670;ALT-JARDIM DA PENHA;4726;D
242680;ALT-PCA.DOS CORREIOS;4732;D
242700;ASS.GERAL ACIONISTAS;8537;D
242730;ALT-ASA SUL 502;1273;D
242840;ALT-AV.GARIBALDI;1875;D
242845;ALT-DEODORO;1878;D
242875;ALT-NITEROI;4690;D
242895;ALT-PARAISO;4853;D
242935;PM-ITAPECURU MIRIM;562;D
242945;PM-LAGO RODRIGUES;1087;D
243030;GECOR ING FORTAL M01;4907;D
243085;ALT-PRES.VARGAS;1882;D
243105;ALT-MEIER;4819;D
243130;ALT-QG EXERCITO;4883;D
243140;ALT-TJ-DF;4885;D
243150;ALT-SANTO AGOSTINHO;4887;D
243295;CELESC;5201;D
243525;PLANALTO ALEGRE;5302;D
243560;MACIEIRA;5322;D
243650;SUL BRASIL;5384;D
243655;AGUAS FRIAS;5395;D
243665;PREF.MUN.JUPIA;5413;D
243685;PREF.MUN.STA.HELENA;5435;D
243750;CORPO DE BOMBEIROS;4445;D
243755;SOP-FORUM PIRACICABA;5668;D
243760;SOP-PRACA TIRADENTES;5712;D
243765;SOP-ZONA SUL-RIO;9012;D
243770;SOP-BELO HORIZONTE;5711;D
243830;SOP-S.J.DOS CAMPOS;8391;D
243835;SOP-JOAO PESSOA;8347;D
243840;SOP-COMERCIAL NATAL;4833;D
243850;SOP-SETOR CAMPINAS;4834;D
243880;SOP-RIO;4812;D
243935;SOP-AG.RECIFE;4844;D
243965;SOP MADUREIRA;4820;D
243970;SOP-VITORIA;7816;D
243975;SOP-SAO LUIS;8392;D
244000;SOP-MOOCA;4994;D
244005;SOP-MANAUS;4838;D
244010;SOP-FLORIANOPOLIS;4829;D
244035;SOP-PELOTAS;8368;D
244040;SOP-STO.AMARO PLISTA;5696;D
244050;SOP-CABULA BA;5718;D
244060;SOP-MESSEJANA;7800;D
244065;SOP-TAGUATINGA CTO;7801;D
244080;SERPRO-RECIFE;7802;D
244085;SENADORES;7803;D
244115;SOP-AFONSO PENA;7810;D
244120;SOP-PRES.VARGAS;7812;D
244135;SOP-DUQUE DE CAXIAS;7814;D
244140;SOP-NITEROI;7815;D
244145;SOP-CANOAS;7817;D
244150;SOP-NOVO HAMBURGO;7818;D
244155;SOP-JARAGUA DO SUL;7819;D
244165;SOP-PORTO ALEGRE;7821;D
244170;SOP-AMERICANA;7822;D
244175;SOP-ARARAQUARA;7823;D
244180;SOP-GUARULHOS;7824;D
244185;SOP-LIMEIRA;7825;D
244190;SOP-MOGI DAS CRUZES;7826;D
244195;SOP-OSASCO;7827;D
244200;SOP-SANTO ANDRE;7828;D
244205;SOP-S.BERNARDO CAMPO;7829;D
244240;SOP-SERET CAMPI.GD;9417;D
244265;SOP-PORTO VELHO;8370;D
244290;SOP-SANTOS;8384;D
244295;SOP-SOROCABA;8395;D
244300;SOP-ARACATUBA;8331;D
244305;SOP-BAURU CENTRO;8337;D
244315;SOP-PRES.PRUDENTE;8373;D
244320;SOP-SAO CARLOS;8385;D
244330;SOP-BOTUCATU;8341;D
244345;SOP-RIO BRANCO;8374;D
244355;SOP-MACAPA;8352;D
244465;SOP-SERET M.CLAROS;9682;D
244500;FORUM BRAZLANDIA;2500;D
244515;SOP-DOURADOS;8346;D
244620;SOP-VOLTA REDONDA;8401;D
244630;AABB-LAGOA 2;3441;D
244635;SOP-CALCADAO;8351;D
244640;SOP-ARACAJU;8330;D
244650;SOP-PCA.GIRASSOIS;8364;D
244710;COOP.VEILING HOLAMBR;4527;D
244735;UFS-REITORIA;5657;D
244750;SOP-MONTE RORAIMA;7837;D
244765;FORUM PAULO DE FARIA;507;D
244770;FORUM BANANAL;1490;D
244780;FORUM GAL.SALGADO;2078;D
244785;FORUM ITABERA;2145;D
244790;FORUM ITAPORANGA;2177;D
244800;FORUM PALESTINA;2382;D
244805;FORUM PALMEIRA OESTE;2385;D
244810;FORUM S.L.PARAITINGA;2648;D
244815;FORUM URANIA;2752;D
244855;FORUM CACONDE;1691;D
244905;CERRO NEGRO;1716;D
244915;SOP-MOSSORO;8360;D
244920;SOP-MARINGA;8359;D
244925;SOP-MACEIO;8353;D
244930;SOP-CHAPECO;8344;D
244935;SOP-CRICIUMA;8345;D
244940;SOP-CAXIAS DO SUL;8343;D
244945;SOP-CASCAVEL;8342;D
244950;SOP-TERESINA;8397;D
245015;FORUM ARARAS;6508;D
245040;FORUM GUARATINGUETA;6513;D
245060;FORUM TAUBATE;6518;D
245075;FORUM ITAPETININGA;6522;D
245080;FORUM ITU;6523;D
245140;FOR.PINDAMONHANGABA;6536;D
245165;FORUM JACAREI;6541;D
245170;FORUM MOGI-MIRIM;6542;D
245185;FORUM ITATIBA;6545;D
245215;FORUM PIRASSUNUNGA;6551;D
245245;FORUM SERTAOZINHO;6558;D
245290;FORUM ASSIS;6570;D
245295;FORUM BEBEDOURO;6571;D
245380;FORUM BIRIGUI;6594;D
245440;FORUM BARRETOS;6621;D
245510;FORUM MOGI-GUACU;6652;D
245530;FORUM SALTO;6658;D
245535;FORUM INDAIATUBA;6663;D
245575;FORUM GUARUJA;6687;D
245620;FORUM SUZANO;6710;D
